Airfoil,Total_Score,CL_RMSE,CM_RMSE,Data_Points
4412,0.12446810046805842,0.18420324178937322,0.03486538848608623,7
3316,0.13140857458140973,0.18000582530256384,0.058512698499678564,7
4415,0.13210296881993472,0.19653588549095635,0.03545359381340225,7
4313,0.1327330239162071,0.2000401673950224,0.03177230869798416,7
4512,0.13360550449029024,0.19910596604392777,0.03535481215983395,7
4312,0.13409934632917758,0.20276199277548473,0.031105376659716837,7
4315,0.1350470880256119,0.19465218064170622,0.04563944910147047,7
4516,0.13690822983443118,0.19661823051647215,0.047343228811369785,7
5311,0.13841223031149352,0.2128870055753924,0.026700067415645228,7
5412,0.13916830685750758,0.20569884366644914,0.039372501644095274,7
4316,0.14077082351796455,0.2057523060103372,0.0432985997794056,7
4314,0.14206354812846014,0.21653615666409423,0.030354635325009025,7
5413,0.1439921227556349,0.21440987117467997,0.038365500127067284,7
5514,0.14644733306091864,0.2116443377798842,0.04865182598247029,7
3414,0.1466192703242437,0.21557008803900152,0.04319304375210699,7
